Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00000_00015.ppm;44;44;6;6;39;39;0
00000_00016.ppm;46;44;6;5;41;39;0
00000_00017.ppm;47;48;6;6;42;42;0
00000_00018.ppm;50;48;5;5;45;43;0
00000_00019.ppm;53;51;5;5;48;46;0
00000_00020.ppm;57;54;6;5;51;49;0
00000_00021.ppm;59;58;6;6;53;53;0
00000_00022.ppm;63;61;6;5;57;56;0
00000_00023.ppm;70;70;7;7;64;64;0
00000_00024.ppm;76;76;7;7;70;70;0
00000_00025.ppm;85;86;7;8;78;79;0
00000_00026.ppm;97;97;8;8;89;88;0
00000_00027.ppm;108;110;9;10;99;101;0
00000_00028.ppm;124;127;10;11;113;116;0
00000_00029.ppm;144;148;12;13;132;136;0
00001_00015.ppm;38;38;5;6;32;33;0
00001_00016.ppm;38;39;5;6;33;34;0
00001_00017.ppm;39;41;5;6;34;35;0
00001_00018.ppm;40;41;5;6;35;36;0
00001_00019.ppm;42;43;5;5;36;37;0
00001_00020.ppm;43;43;6;5;38;38;0
00001_00021.ppm;45;45;6;5;40;40;0
00001_00022.ppm;45;47;5;6;40;42;0
00001_00023.ppm;47;48;5;5;41;42;0
00001_00024.ppm;49;49;6;5;44;44;0
00001_00025.ppm;50;52;5;5;45;47;0
00001_00026.ppm;53;54;6;5;48;49;0
00001_00027.ppm;55;56;6;5;50;51;0
00001_00028.ppm;57;59;5;6;51;54;0
00001_00029.ppm;59;61;5;5;54;55;0
00002_00015.ppm;41;41;6;6;36;36;0
00002_00016.ppm;44;44;6;6;39;39;0
00002_00017.ppm;46;45;6;5;41;40;0
00002_00018.ppm;48;47;6;5;43;42;0
00002_00019.ppm;51;50;6;5;46;45;0
00002_00020.ppm;52;52;5;5;47;47;0
00002_00021.ppm;55;55;6;6;50;50;0
00002_00022.ppm;59;59;6;6;54;54;0
00002_00023.ppm;62;63;5;6;57;58;0
00002_00024.ppm;69;70;7;6;63;64;0
00002_00025.ppm;74;75;6;6;68;69;0
00002_00026.ppm;83;85;7;8;76;78;0
00002_00027.ppm;92;95;8;9;84;87;0
00002_00028.ppm;107;108;10;9;98;99;0
00002_00029.ppm;122;124;11;11;112;114;0
00003_00015.ppm;41;40;6;5;36;35;0
00003_00016.ppm;43;44;6;6;38;38;0
00003_00017.ppm;43;45;5;5;38;40;0
00003_00018.ppm;47;46;6;5;42;41;0
00003_00019.ppm;50;50;5;5;45;45;0
00003_00020.ppm;51;52;5;5;46;47;0
00003_00021.ppm;53;54;5;5;48;49;0
00003_00022.ppm;58;57;5;5;52;51;0
00003_00023.ppm;62;60;5;6;56;55;0
00003_00024.ppm;64;61;5;5;59;56;0
00003_00025.ppm;70;69;6;7;64;62;0
00003_00026.ppm;76;75;6;6;70;69;0
00003_00027.ppm;85;84;8;8;78;76;0
00003_00028.ppm;94;93;8;9;86;85;0
00003_00029.ppm;109;104;10;9;100;95;0
00004_00015.ppm;72;75;7;6;65;68;0
00004_00016.ppm;74;79;7;7;68;72;0
00004_00017.ppm;74;80;6;8;67;73;0
00004_00018.ppm;76;80;7;7;69;72;0
00004_00019.ppm;77;82;7;7;71;75;0
00004_00020.ppm;80;84;8;7;73;77;0
00004_00021.ppm;81;85;7;7;73;78;0
00004_00022.ppm;81;88;7;8;74;80;0
00004_00023.ppm;84;88;8;7;76;81;0
00004_00024.ppm;85;89;8;8;78;82;0
00004_00025.ppm;86;93;7;8;78;84;0
00004_00026.ppm;90;96;8;9;82;88;0
00004_00027.ppm;95;100;9;9;87;92;0
00004_00028.ppm;98;106;8;10;90;97;0
00004_00029.ppm;107;110;9;10;97;101;0
00005_00015.ppm;42;39;6;5;36;34;0
00005_00016.ppm;43;40;6;5;38;35;0
00005_00017.ppm;43;43;5;6;38;37;0
00005_00018.ppm;45;44;5;6;40;39;0
00005_00019.ppm;47;45;5;5;42;40;0
00005_00020.ppm;49;47;5;5;44;42;0
00005_00021.ppm;52;49;5;5;47;44;0
00005_00022.ppm;56;54;5;5;50;49;0
00005_00023.ppm;59;58;6;6;54;53;0
00005_00024.ppm;63;62;5;6;58;57;0
00005_00025.ppm;71;65;7;5;64;59;0
00005_00026.ppm;76;72;7;6;70;66;0
00005_00027.ppm;83;82;8;7;76;75;0
00005_00028.ppm;95;94;9;8;87;85;0
00005_00029.ppm;109;108;9;10;100;99;0
00006_00015.ppm;53;55;6;6;48;50;0
00006_00016.ppm;54;56;5;5;48;50;0
00006_00017.ppm;55;58;5;5;50;53;0
00006_00018.ppm;56;61;5;6;51;55;0
00006_00019.ppm;60;64;5;6;55;59;0
00006_00020.ppm;63;69;6;7;58;62;0
00006_00021.ppm;68;73;6;7;62;66;0
00006_00022.ppm;72;76;6;6;66;69;0
00006_00023.ppm;75;81;6;7;69;74;0
00006_00024.ppm;82;85;8;7;74;77;0
00006_00025.ppm;85;87;8;7;77;80;0
00006_00026.ppm;92;95;8;8;83;87;0
00006_00027.ppm;97;100;9;8;89;92;0
00006_00028.ppm;105;109;9;10;95;100;0
00006_00029.ppm;112;118;10;11;103;108;0
