Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00000_00015.ppm;30;27;5;5;25;22;18
00000_00016.ppm;30;28;5;5;25;23;18
00000_00017.ppm;30;29;5;6;25;23;18
00000_00018.ppm;31;28;5;5;26;23;18
00000_00019.ppm;32;28;5;5;26;23;18
00000_00020.ppm;33;29;6;6;28;24;18
00000_00021.ppm;31;29;5;6;26;23;18
00000_00022.ppm;31;29;6;6;26;24;18
00000_00023.ppm;30;29;5;6;25;24;18
00000_00024.ppm;30;29;5;6;25;24;18
00000_00025.ppm;31;28;6;5;26;23;18
00000_00026.ppm;31;30;6;6;26;24;18
00000_00027.ppm;31;29;6;6;26;24;18
00000_00028.ppm;31;29;6;5;26;23;18
00000_00029.ppm;30;31;5;6;25;25;18
00001_00015.ppm;60;54;6;6;55;49;18
00001_00016.ppm;60;57;5;6;55;52;18
00001_00017.ppm;61;56;5;6;56;51;18
00001_00018.ppm;64;60;5;6;58;54;18
00001_00019.ppm;68;60;6;5;61;54;18
00001_00020.ppm;70;62;6;6;64;57;18
00001_00021.ppm;72;63;6;5;66;58;18
00001_00022.ppm;72;65;6;5;66;59;18
00001_00023.ppm;76;69;7;7;70;63;18
00001_00024.ppm;82;72;8;6;74;65;18
00001_00025.ppm;83;75;7;7;76;69;18
00001_00026.ppm;87;78;8;7;80;71;18
00001_00027.ppm;90;82;8;8;82;74;18
00001_00028.ppm;96;86;9;8;87;78;18
00001_00029.ppm;99;92;8;8;91;83;18
00002_00015.ppm;49;45;6;6;43;40;18
00002_00016.ppm;49;45;6;5;44;40;18
00002_00017.ppm;50;47;5;5;45;42;18
00002_00018.ppm;53;47;6;5;47;42;18
00002_00019.ppm;54;49;6;5;49;44;18
00002_00020.ppm;56;51;6;5;51;45;18
00002_00021.ppm;56;53;5;6;51;48;18
00002_00022.ppm;59;55;5;5;54;50;18
00002_00023.ppm;64;60;5;6;59;55;18
00002_00024.ppm;68;61;7;5;62;56;18
00002_00025.ppm;71;67;6;6;65;61;18
00002_00026.ppm;75;71;6;6;69;65;18
