Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00000_00015.ppm;42;36;6;5;37;31;20
00000_00016.ppm;45;39;6;5;40;34;20
00000_00017.ppm;47;42;5;5;41;36;20
00000_00018.ppm;50;45;5;5;45;40;20
00000_00019.ppm;55;49;6;5;49;43;20
00000_00020.ppm;56;51;6;6;51;46;20
00000_00021.ppm;59;54;5;5;54;49;20
00000_00022.ppm;64;57;6;5;59;52;20
00000_00023.ppm;70;61;6;5;64;56;20
00000_00024.ppm;76;69;6;6;70;63;20
00000_00025.ppm;86;75;8;6;79;69;20
00000_00026.ppm;97;87;8;7;89;80;20
00000_00027.ppm;111;100;9;8;102;92;20
00000_00028.ppm;131;119;12;11;120;109;20
00000_00029.ppm;166;152;15;14;152;139;20
00001_00015.ppm;45;41;5;6;40;35;20
00001_00016.ppm;47;41;6;6;42;36;20
00001_00017.ppm;44;42;5;6;39;37;20
00001_00018.ppm;45;42;5;6;40;37;20
00001_00019.ppm;50;42;6;5;45;37;20
00001_00020.ppm;50;43;5;5;45;38;20
00001_00021.ppm;51;44;5;5;46;39;20
00001_00022.ppm;54;46;6;6;48;41;20
00001_00023.ppm;55;47;6;5;50;42;20
00001_00024.ppm;57;49;6;6;51;44;20
00001_00025.ppm;59;51;6;6;53;46;20
00001_00026.ppm;59;52;5;6;54;47;20
00001_00027.ppm;63;54;6;5;58;48;20
00001_00028.ppm;65;56;6;6;59;51;20
00001_00029.ppm;69;58;6;5;63;53;20
00002_00015.ppm;47;46;5;6;42;41;20
00002_00016.ppm;49;46;6;5;44;41;20
00002_00017.ppm;50;48;6;6;45;43;20
00002_00018.ppm;52;51;5;6;47;46;20
00002_00019.ppm;55;52;6;5;50;47;20
00002_00020.ppm;56;53;6;5;51;48;20
00002_00021.ppm;58;57;5;6;53;52;20
00002_00022.ppm;61;59;6;6;56;53;20
00002_00023.ppm;63;59;6;5;58;54;20
00002_00024.ppm;68;65;6;6;62;60;20
00002_00025.ppm;72;71;7;7;66;64;20
00002_00026.ppm;81;77;8;7;74;71;20
00002_00027.ppm;87;81;8;7;80;74;20
00002_00028.ppm;92;85;8;7;84;78;20
00002_00029.ppm;105;99;10;8;96;91;20
00003_00015.ppm;51;49;6;6;46;44;20
00003_00016.ppm;53;51;6;6;48;45;20
00003_00017.ppm;54;51;6;5;49;46;20
00003_00018.ppm;57;54;6;6;51;49;20
00003_00019.ppm;58;56;5;6;53;51;20
00003_00020.ppm;62;58;5;5;57;53;20
00003_00021.ppm;64;61;5;6;58;56;20
00003_00022.ppm;67;64;6;6;61;59;20
00003_00023.ppm;73;71;6;6;67;65;20
00003_00024.ppm;77;75;7;7;71;69;20
00003_00025.ppm;83;80;8;8;76;73;20
00003_00026.ppm;92;86;8;7;84;79;20
00003_00027.ppm;100;95;9;9;92;87;20
00003_00028.ppm;106;99;10;9;97;91;20
00003_00029.ppm;117;118;7;11;107;108;20
00004_00015.ppm;37;37;6;6;32;32;20
00004_00016.ppm;41;41;6;6;36;36;20
00004_00017.ppm;41;41;6;6;36;36;20
00004_00018.ppm;41;40;6;5;36;35;20
00004_00019.ppm;40;41;5;6;35;36;20
00004_00020.ppm;41;40;6;5;36;35;20
00004_00021.ppm;40;41;5;6;35;36;20
00004_00022.ppm;40;40;5;5;35;35;20
00004_00023.ppm;42;42;5;5;37;37;20
00004_00024.ppm;44;44;6;6;39;39;20
00004_00025.ppm;47;46;6;5;42;41;20
00004_00026.ppm;48;49;5;6;43;44;20
00004_00027.ppm;52;53;5;6;47;48;20
00004_00028.ppm;54;55;5;6;49;50;20
00004_00029.ppm;58;58;5;5;53;53;20
00005_00015.ppm;40;37;5;6;34;32;20
00005_00016.ppm;40;38;5;5;35;32;20
00005_00017.ppm;43;40;6;6;38;35;20
00005_00018.ppm;44;42;6;6;39;36;20
00005_00019.ppm;46;42;6;5;41;37;20
00005_00020.ppm;48;44;6;5;43;39;20
00005_00021.ppm;49;47;5;6;44;42;20
00005_00022.ppm;49;47;5;6;44;42;20
00005_00023.ppm;51;48;5;5;46;43;20
00005_00024.ppm;51;48;5;5;46;43;20
00005_00025.ppm;53;50;6;6;48;45;20
00005_00026.ppm;55;51;6;5;50;46;20
00005_00027.ppm;59;55;5;6;54;50;20
00005_00028.ppm;68;60;7;5;62;55;20
00005_00029.ppm;74;67;7;6;68;61;20
00006_00015.ppm;41;38;6;6;35;32;20
00006_00016.ppm;41;39;5;6;36;33;20
00006_00017.ppm;43;40;6;6;38;34;20
00006_00018.ppm;45;42;5;6;40;36;20
00006_00019.ppm;49;44;6;6;44;39;20
00006_00020.ppm;50;44;6;5;45;39;20
00006_00021.ppm;52;46;5;5;47;40;20
00006_00022.ppm;55;49;5;5;50;43;20
00006_00023.ppm;60;52;6;5;54;46;20
00006_00024.ppm;62;55;5;6;57;50;20
00006_00025.ppm;67;57;6;6;61;52;20
00006_00026.ppm;72;60;6;5;65;55;20
00006_00027.ppm;76;66;6;6;69;60;20
00006_00028.ppm;84;71;8;6;76;64;20
00006_00029.ppm;89;75;8;6;81;69;20
00007_00015.ppm;31;32;5;6;25;27;20
00007_00016.ppm;33;32;6;5;28;27;20
00007_00017.ppm;34;35;5;6;29;30;20
00007_00018.ppm;38;36;6;5;33;31;20
00007_00019.ppm;40;39;5;6;35;34;20
00007_00020.ppm;41;41;5;6;36;35;20
00007_00021.ppm;44;42;5;5;38;36;20
00007_00022.ppm;48;45;6;5;43;40;20
00007_00023.ppm;53;50;6;6;47;45;20
00007_00024.ppm;57;55;5;6;52;50;20
00007_00025.ppm;63;60;5;5;58;55;20
00007_00026.ppm;74;71;7;7;68;65;20
00007_00027.ppm;88;84;8;7;81;77;20
00007_00028.ppm;106;100;10;8;97;92;20
00007_00029.ppm;124;119;11;10;114;109;20
00008_00015.ppm;40;40;6;6;35;35;20
00008_00016.ppm;39;40;5;6;34;35;20
00008_00017.ppm;40;40;6;6;35;35;20
00008_00018.ppm;40;40;5;5;35;35;20
00008_00019.ppm;41;40;6;5;36;35;20
00008_00020.ppm;42;43;5;6;37;38;20
00008_00021.ppm;44;44;5;5;39;39;20
