Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00000_00015.ppm;42;39;6;5;37;34;11
00000_00016.ppm;45;39;5;5;40;34;11
00000_00017.ppm;50;44;6;6;45;39;11
00000_00018.ppm;49;44;5;6;44;39;11
00000_00019.ppm;51;45;5;5;46;40;11
00000_00020.ppm;51;48;5;6;46;43;11
00000_00021.ppm;57;53;6;5;52;48;11
00000_00022.ppm;59;59;6;5;54;54;11
00000_00023.ppm;63;60;5;6;58;55;11
00000_00024.ppm;72;67;7;6;66;61;11
00000_00025.ppm;82;77;7;7;75;71;11
00000_00026.ppm;96;85;9;8;88;78;11
00000_00027.ppm;109;97;10;9;100;89;11
00000_00028.ppm;134;122;11;10;123;112;11
00000_00029.ppm;175;159;15;14;160;146;11
00001_00015.ppm;77;73;7;6;71;67;11
00001_00016.ppm;80;75;8;7;73;69;11
00001_00017.ppm;82;80;7;8;74;73;11
00001_00018.ppm;83;82;7;8;76;75;11
00001_00019.ppm;88;83;7;7;80;76;11
00001_00020.ppm;92;85;8;7;84;78;11
00001_00021.ppm;97;91;9;8;89;83;11
00001_00022.ppm;98;93;8;8;90;85;11
00001_00023.ppm;105;97;10;9;96;89;11
00001_00024.ppm;108;100;9;8;99;92;11
00001_00025.ppm;111;106;10;10;102;96;11
00001_00026.ppm;119;112;11;10;108;102;11
00001_00027.ppm;121;116;10;11;110;106;11
00001_00028.ppm;130;122;12;10;119;112;11
00001_00029.ppm;133;128;11;11;121;117;11
00002_00015.ppm;109;100;9;9;100;91;11
00002_00016.ppm;112;103;9;9;103;94;11
00002_00017.ppm;117;105;10;9;106;96;11
00002_00018.ppm;123;110;11;9;113;101;11
00002_00019.ppm;129;117;12;11;118;107;11
00002_00020.ppm;131;120;11;11;120;109;11
00002_00021.ppm;141;126;13;11;129;115;11
00002_00022.ppm;145;130;13;11;133;119;11
00002_00023.ppm;147;134;12;12;135;123;11
00002_00024.ppm;158;142;14;12;145;130;11
00002_00025.ppm;166;146;15;12;152;134;11
00002_00026.ppm;180;159;15;13;165;146;11
00002_00027.ppm;191;168;17;14;175;154;11
00002_00028.ppm;201;178;17;15;184;163;11
00002_00029.ppm;216;203;19;17;203;186;11
00003_00015.ppm;52;47;5;5;47;42;11
00003_00016.ppm;54;50;5;5;49;45;11
00003_00017.ppm;58;54;6;6;52;48;11
00003_00018.ppm;60;55;6;5;55;50;11
00003_00019.ppm;63;58;5;5;58;53;11
00003_00020.ppm;72;62;7;5;66;57;11
00003_00021.ppm;76;70;7;7;70;64;11
00003_00022.ppm;83;74;7;6;76;68;11
00003_00023.ppm;87;81;7;8;80;73;11
00003_00024.ppm;98;87;9;7;90;79;11
00003_00025.ppm;109;96;10;8;100;88;11
00003_00026.ppm;120;109;10;10;110;100;11
00003_00027.ppm;140;123;13;10;128;113;11
00003_00028.ppm;156;140;13;12;143;128;11
00003_00029.ppm;189;168;16;15;173;154;11
00004_00015.ppm;54;53;6;6;49;48;11
00004_00016.ppm;56;56;5;6;51;51;11
00004_00017.ppm;60;58;6;6;55;53;11
00004_00018.ppm;64;61;6;5;59;56;11
00004_00019.ppm;68;65;7;6;62;60;11
00004_00020.ppm;73;70;7;7;66;63;11
00004_00021.ppm;75;74;6;7;69;68;11
00004_00022.ppm;83;80;8;7;76;73;11
00004_00023.ppm;92;92;8;9;84;84;11
00004_00024.ppm;99;98;8;8;91;90;11
00004_00025.ppm;111;108;9;10;101;99;11
00004_00026.ppm;124;122;11;11;114;111;11
00004_00027.ppm;136;135;12;12;125;124;11
00004_00028.ppm;164;168;14;15;150;153;11
00004_00029.ppm;190;200;16;18;174;183;11
00005_00015.ppm;64;57;5;5;59;52;11
00005_00016.ppm;69;60;7;5;63;55;11
00005_00017.ppm;72;64;7;6;65;58;11
00005_00018.ppm;74;64;7;5;67;59;11
00005_00019.ppm;74;67;7;6;68;61;11
00005_00020.ppm;77;70;7;6;71;64;11
00005_00021.ppm;85;75;7;7;78;69;11
00005_00022.ppm;92;81;9;8;84;74;11
00005_00023.ppm;95;84;9;8;87;76;11
00005_00024.ppm;100;88;9;8;92;81;11
00005_00025.ppm;108;96;9;8;98;87;11
00005_00026.ppm;119;108;10;10;109;98;11
