Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00000_00015.ppm;56;50;5;6;51;45;31
00000_00016.ppm;58;51;5;5;53;46;31
00000_00017.ppm;62;58;5;6;57;53;31
00000_00018.ppm;64;58;5;5;59;53;31
00000_00019.ppm;69;61;6;5;63;56;31
00000_00020.ppm;74;69;6;7;68;63;31
00000_00021.ppm;80;71;8;6;73;65;31
00000_00022.ppm;83;75;8;6;76;69;31
00000_00023.ppm;88;80;7;7;81;73;31
00000_00024.ppm;94;83;9;7;86;76;31
00000_00025.ppm;101;92;9;8;93;84;31
00000_00026.ppm;112;104;10;10;103;95;31
00000_00027.ppm;125;116;11;10;115;106;31
00000_00028.ppm;140;129;13;11;128;118;31
00000_00029.ppm;155;143;14;12;142;131;31
00001_00015.ppm;50;47;5;6;45;42;31
00001_00016.ppm;52;49;5;5;47;44;31
00001_00017.ppm;54;51;6;6;49;46;31
00001_00018.ppm;55;51;5;5;50;46;31
00001_00019.ppm;56;53;5;5;51;47;31
00001_00020.ppm;58;55;6;6;53;49;31
00001_00021.ppm;59;55;6;5;54;49;31
00001_00022.ppm;59;56;5;6;54;51;31
00001_00023.ppm;62;58;6;6;57;53;31
00001_00024.ppm;64;60;6;6;59;55;31
00001_00025.ppm;70;63;7;5;64;58;31
00001_00026.ppm;73;68;7;6;67;62;31
00001_00027.ppm;77;71;7;6;71;65;31
00001_00028.ppm;82;76;7;7;74;69;31
00001_00029.ppm;86;80;8;7;79;73;31
00002_00015.ppm;52;47;6;5;47;42;31
00002_00016.ppm;55;52;5;6;50;47;31
00002_00017.ppm;59;55;5;5;54;50;31
00002_00018.ppm;63;57;6;6;58;52;31
00002_00019.ppm;63;57;6;5;58;52;31
00002_00020.ppm;67;62;6;6;61;57;31
00002_00021.ppm;73;69;6;6;67;63;31
00002_00022.ppm;76;72;6;7;70;66;31
00002_00023.ppm;82;74;8;6;75;68;31
00002_00024.ppm;92;85;8;7;84;78;31
00002_00025.ppm;104;97;9;9;95;89;31
00002_00026.ppm;110;105;9;9;101;96;31
00002_00027.ppm;120;116;10;11;110;106;31
00002_00028.ppm;146;141;12;13;134;129;31
00002_00029.ppm;191;176;16;15;175;161;31
00003_00015.ppm;52;48;6;6;46;43;31
00003_00016.ppm;52;47;6;5;47;42;31
00003_00017.ppm;52;49;6;6;47;44;31
00003_00018.ppm;52;50;6;6;47;45;31
00003_00019.ppm;53;52;5;6;48;47;31
00003_00020.ppm;57;53;6;5;52;48;31
00003_00021.ppm;60;57;6;6;55;52;31
00003_00022.ppm;61;60;5;6;56;54;31
00003_00023.ppm;65;61;6;5;60;56;31
00003_00024.ppm;70;64;6;5;63;59;31
00003_00025.ppm;74;71;7;7;67;64;31
00003_00026.ppm;76;74;6;7;69;67;31
00003_00027.ppm;81;76;7;6;74;70;31
00003_00028.ppm;86;82;8;8;78;75;31
00003_00029.ppm;89;86;8;8;82;79;31
00004_00015.ppm;48;44;6;6;43;39;31
00004_00016.ppm;48;43;5;5;43;38;31
00004_00017.ppm;49;45;5;6;44;40;31
00004_00018.ppm;53;47;5;5;48;42;31
00004_00019.ppm;55;48;6;5;50;43;31
00004_00020.ppm;56;50;5;5;51;45;31
00004_00021.ppm;61;54;6;6;56;49;31
