Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00000_00015.ppm;52;52;5;5;47;47;35
00000_00016.ppm;55;54;6;5;50;49;35
00000_00017.ppm;56;56;5;6;50;51;35
00000_00018.ppm;58;59;5;6;53;54;35
00000_00019.ppm;60;60;6;5;55;55;35
00000_00020.ppm;62;63;5;5;57;58;35
00000_00021.ppm;67;69;6;6;61;63;35
00000_00022.ppm;68;72;6;7;62;66;35
00000_00023.ppm;75;76;7;6;69;70;35
00000_00024.ppm;79;81;7;7;72;74;35
00000_00025.ppm;85;91;8;8;78;83;35
00000_00026.ppm;94;99;8;8;86;91;35
00000_00027.ppm;99;105;9;9;91;96;35
00000_00028.ppm;109;119;9;11;100;109;35
00000_00029.ppm;118;128;11;12;108;117;35
00001_00015.ppm;34;35;5;6;29;30;35
00001_00016.ppm;35;37;5;5;30;31;35
00001_00017.ppm;38;38;6;5;33;33;35
00001_00018.ppm;37;38;5;5;32;33;35
00001_00019.ppm;40;41;5;6;34;35;35
00001_00020.ppm;43;43;6;6;38;38;35
00001_00021.ppm;43;43;6;6;38;38;35
00001_00022.ppm;44;44;5;6;38;39;35
00001_00023.ppm;48;49;6;6;43;44;35
00001_00024.ppm;50;52;5;6;44;46;35
00001_00025.ppm;53;54;5;6;48;49;35
00001_00026.ppm;57;57;6;6;52;52;35
00001_00027.ppm;61;61;5;5;56;56;35
00001_00028.ppm;68;70;6;7;61;64;35
00001_00029.ppm;76;76;7;6;70;70;35
00002_00015.ppm;37;38;5;5;31;32;35
00002_00016.ppm;37;38;5;5;32;33;35
00002_00017.ppm;38;39;5;5;32;33;35
00002_00018.ppm;39;40;5;5;33;34;35
00002_00019.ppm;40;40;6;5;35;35;35
00002_00020.ppm;42;43;6;6;37;38;35
00002_00021.ppm;43;44;6;5;38;38;35
00002_00022.ppm;44;45;5;5;39;40;35
00002_00023.ppm;47;48;6;6;41;42;35
00002_00024.ppm;48;49;6;6;43;44;35
00002_00025.ppm;47;50;5;6;42;44;35
00002_00026.ppm;52;51;6;5;46;46;35
00002_00027.ppm;53;55;6;6;48;49;35
00002_00028.ppm;54;57;6;6;49;51;35
00002_00029.ppm;60;58;5;5;55;53;35
00003_00015.ppm;32;34;5;6;26;28;35
00003_00016.ppm;33;32;6;5;28;27;35
00003_00017.ppm;33;34;5;6;27;29;35
00003_00018.ppm;34;36;5;6;29;31;35
00003_00019.ppm;36;37;5;5;31;32;35
00003_00020.ppm;38;38;6;5;33;33;35
00003_00021.ppm;37;40;5;6;32;35;35
00003_00022.ppm;39;40;6;5;34;35;35
00003_00023.ppm;39;42;5;5;34;37;35
00003_00024.ppm;41;45;5;5;36;40;35
00003_00025.ppm;41;45;5;5;36;40;35
00003_00026.ppm;42;48;5;5;37;43;35
00003_00027.ppm;45;51;5;6;39;46;35
00003_00028.ppm;48;54;6;6;42;48;35
00003_00029.ppm;50;56;6;6;44;50;35
00004_00015.ppm;36;38;5;6;31;33;35
00004_00016.ppm;38;39;5;5;33;34;35
00004_00017.ppm;40;41;5;5;35;36;35
00004_00018.ppm;41;43;5;5;36;37;35
00004_00019.ppm;45;46;6;6;39;41;35
00004_00020.ppm;46;47;6;6;41;42;35
00004_00021.ppm;47;47;6;5;42;42;35
00004_00022.ppm;50;51;6;6;45;46;35
00004_00023.ppm;53;53;6;5;47;47;35
00004_00024.ppm;56;55;6;5;50;50;35
00004_00025.ppm;57;59;5;6;52;54;35
00004_00026.ppm;59;62;5;5;54;56;35
00004_00027.ppm;65;68;5;6;59;61;35
00004_00028.ppm;73;75;7;7;67;69;35
00004_00029.ppm;76;77;7;7;69;71;35
00005_00015.ppm;35;35;6;6;30;30;35
00005_00016.ppm;36;35;6;5;31;30;35
00005_00017.ppm;35;37;5;6;30;31;35
00005_00018.ppm;37;36;5;5;31;31;35
00005_00019.ppm;37;38;5;5;32;32;35
00005_00020.ppm;39;40;6;6;34;34;35
00005_00021.ppm;39;40;5;6;34;35;35
00005_00022.ppm;51;51;5;5;46;46;35
00005_00023.ppm;51;52;6;6;46;47;35
00005_00024.ppm;57;58;6;6;52;53;35
00005_00025.ppm;57;57;6;5;52;52;35
00005_00026.ppm;60;59;6;5;55;54;35
00005_00027.ppm;61;62;5;5;56;57;35
00005_00028.ppm;64;64;5;5;59;59;35
00005_00029.ppm;68;69;6;6;62;63;35
00006_00015.ppm;41;41;5;5;35;36;35
00006_00016.ppm;43;44;6;5;38;38;35
00006_00017.ppm;45;45;5;5;39;40;35
00006_00018.ppm;48;50;5;6;43;44;35
00006_00019.ppm;50;50;5;5;45;45;35
00006_00020.ppm;52;53;5;6;47;48;35
00006_00021.ppm;54;55;5;6;49;50;35
00006_00022.ppm;57;57;5;5;52;52;35
00006_00023.ppm;60;59;5;5;54;54;35
00006_00024.ppm;66;68;6;7;60;62;35
00006_00025.ppm;71;72;7;7;65;66;35
00006_00026.ppm;81;82;7;7;74;75;35
00006_00027.ppm;87;88;8;8;79;80;35
00006_00028.ppm;97;99;8;9;89;91;35
00006_00029.ppm;108;110;10;10;99;101;35
00007_00015.ppm;38;39;5;6;33;34;35
00007_00016.ppm;40;41;6;5;35;36;35
00007_00017.ppm;41;43;5;6;36;38;35
00007_00018.ppm;45;45;6;6;39;39;35
00007_00019.ppm;47;47;5;5;42;42;35
00007_00020.ppm;50;50;6;6;45;45;35
00007_00021.ppm;53;54;5;6;48;49;35
00007_00022.ppm;56;56;5;5;50;51;35
