Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00000_00015.ppm;107;109;9;10;98;100;39
00000_00016.ppm;110;110;10;9;101;101;39
00000_00017.ppm;112;115;9;10;103;105;39
00000_00018.ppm;117;118;11;11;107;108;39
00000_00019.ppm;120;120;11;11;110;110;39
00000_00020.ppm;127;128;11;12;116;117;39
00000_00021.ppm;130;131;11;11;119;119;39
00000_00022.ppm;134;134;12;11;123;123;39
00000_00023.ppm;137;140;12;12;126;127;39
00000_00024.ppm;145;148;12;12;133;136;39
00000_00025.ppm;151;156;13;14;138;143;39
00000_00026.ppm;157;161;13;14;143;148;39
00000_00027.ppm;164;168;14;14;150;154;39
00000_00028.ppm;179;183;16;15;164;168;39
00000_00029.ppm;188;193;17;16;172;177;39
00001_00015.ppm;37;38;6;5;32;33;39
00001_00016.ppm;37;40;5;6;32;34;39
00001_00017.ppm;39;40;6;6;34;35;39
00001_00018.ppm;40;41;5;5;35;36;39
00001_00019.ppm;41;42;5;5;36;37;39
00001_00020.ppm;42;43;5;5;36;37;39
00001_00021.ppm;44;44;5;5;38;39;39
00001_00022.ppm;45;46;6;6;40;41;39
00001_00023.ppm;45;48;5;6;40;42;39
00001_00024.ppm;49;50;6;6;44;45;39
00001_00025.ppm;50;52;5;6;44;46;39
00001_00026.ppm;52;54;5;6;47;49;39
00001_00027.ppm;53;56;5;6;48;50;39
00001_00028.ppm;55;57;5;5;50;51;39
00001_00029.ppm;59;60;5;5;54;55;39
00002_00015.ppm;57;62;6;5;52;57;39
00002_00016.ppm;57;62;6;5;52;57;39
00002_00017.ppm;60;64;6;5;55;58;39
00002_00018.ppm;61;67;5;6;56;61;39
00002_00019.ppm;61;71;5;7;56;65;39
00002_00020.ppm;65;74;6;7;60;68;39
00002_00021.ppm;69;76;6;7;62;69;39
00002_00022.ppm;74;79;7;7;67;72;39
00002_00023.ppm;77;83;7;7;71;76;39
00002_00024.ppm;82;86;8;8;75;79;39
00002_00025.ppm;86;92;7;8;79;84;39
00002_00026.ppm;93;97;9;9;85;89;39
00002_00027.ppm;98;104;8;10;90;95;39
00002_00028.ppm;108;110;10;9;99;101;39
00002_00029.ppm;117;119;11;11;107;109;39
00003_00015.ppm;38;40;5;6;33;34;39
00003_00016.ppm;42;42;6;6;37;37;39
00003_00017.ppm;43;43;6;6;38;38;39
00003_00018.ppm;43;44;5;5;38;39;39
00003_00019.ppm;46;46;6;5;41;41;39
00003_00020.ppm;48;49;5;6;43;44;39
00003_00021.ppm;51;51;6;5;46;46;39
00003_00022.ppm;54;55;5;5;49;50;39
00003_00023.ppm;58;60;5;6;53;55;39
00003_00024.ppm;65;68;6;7;60;62;39
00003_00025.ppm;74;73;7;6;68;67;39
00003_00026.ppm;83;84;8;8;76;77;39
00003_00027.ppm;87;91;8;8;80;83;39
00003_00028.ppm;97;105;8;9;89;96;39
00003_00029.ppm;119;129;11;12;109;118;39
00004_00015.ppm;42;44;5;5;37;39;39
00004_00016.ppm;44;47;5;6;39;42;39
00004_00017.ppm;45;48;5;6;40;43;39
00004_00018.ppm;47;49;5;5;42;44;39
00004_00019.ppm;50;51;6;5;45;46;39
00004_00020.ppm;52;55;5;6;47;50;39
00004_00021.ppm;56;59;5;6;51;54;39
00004_00022.ppm;60;62;6;6;55;57;39
00004_00023.ppm;64;68;6;7;59;62;39
00004_00024.ppm;71;73;6;6;64;66;39
00004_00025.ppm;81;83;8;8;74;76;39
00004_00026.ppm;91;93;8;8;83;85;39
00004_00027.ppm;105;106;9;9;96;97;39
00004_00028.ppm;119;121;10;11;109;111;39
00004_00029.ppm;145;146;12;12;133;134;39
00005_00015.ppm;46;46;6;6;41;41;39
00005_00016.ppm;46;46;5;5;41;41;39
00005_00017.ppm;47;47;5;5;42;42;39
00005_00018.ppm;50;50;6;5;45;44;39
00005_00019.ppm;51;51;5;5;46;46;39
00005_00020.ppm;52;53;5;6;47;48;39
00005_00021.ppm;57;57;5;5;52;52;39
00005_00022.ppm;58;59;5;6;53;54;39
00005_00023.ppm;62;61;6;5;57;56;39
00005_00024.ppm;67;69;6;7;61;63;39
00005_00025.ppm;70;71;6;6;64;65;39
00005_00026.ppm;76;80;6;7;70;73;39
00005_00027.ppm;81;84;7;8;74;77;39
00005_00028.ppm;87;92;7;8;80;84;39
00005_00029.ppm;106;108;10;10;97;99;39
00006_00015.ppm;33;34;5;6;28;29;39
00006_00016.ppm;34;35;5;6;29;30;39
00006_00017.ppm;36;36;6;6;31;31;39
00006_00018.ppm;35;36;5;6;29;31;39
00006_00019.ppm;35;35;5;5;30;29;39
00006_00020.ppm;36;37;5;6;30;31;39
00006_00021.ppm;38;37;6;5;33;32;39
00006_00022.ppm;39;37;6;5;34;32;39
00006_00023.ppm;39;38;6;5;34;33;39
00006_00024.ppm;39;39;5;5;34;34;39
00006_00025.ppm;40;41;5;6;35;36;39
00006_00026.ppm;41;41;5;5;36;36;39
00006_00027.ppm;43;42;6;5;38;37;39
00006_00028.ppm;45;43;6;5;40;38;39
00006_00029.ppm;47;44;6;5;42;39;39
00007_00015.ppm;69;73;6;7;63;66;39
00007_00016.ppm;71;74;7;7;65;68;39
00007_00017.ppm;73;75;6;6;66;69;39
00007_00018.ppm;75;77;7;6;68;70;39
00007_00019.ppm;75;80;6;7;69;73;39
00007_00020.ppm;81;84;8;8;73;77;39
00007_00021.ppm;81;86;7;8;73;78;39
00007_00022.ppm;82;86;7;7;75;79;39
00007_00023.ppm;84;90;7;8;77;82;39
00007_00024.ppm;86;92;8;8;79;84;39
00007_00025.ppm;87;94;7;8;79;86;39
00007_00026.ppm;92;98;8;8;84;90;39
00007_00027.ppm;94;101;8;9;86;93;39
00007_00028.ppm;97;105;9;10;88;96;39
00007_00029.ppm;103;110;9;10;94;101;39
00008_00015.ppm;40;41;6;6;35;35;39
00008_00016.ppm;42;41;6;6;36;36;39
00008_00017.ppm;42;41;6;5;37;36;39
00008_00018.ppm;43;44;5;6;38;39;39
00008_00019.ppm;47;48;6;6;41;42;39
00008_00020.ppm;47;48;5;6;42;43;39
00008_00021.ppm;49;50;5;6;44;45;39
00008_00022.ppm;54;53;6;5;48;48;39
00008_00023.ppm;55;58;5;6;50;53;39
